fips,state,county,less_than_highschool_2014_2018,high_school_2014_2018,some_college_or_associates_2014_2018,bachelors_or_higher_2014_2018,perc_less_than_highschool_2014_2018,perc_high_school_2014_2018,perc_some_college_or_associates_2014_2018,perc_bachelors_or_higher_2014_2018,median_household_income_2018,population_est_2018
1000,Alabama,"",470043,1020172,987148,822595,14.2,30.9,29.9,24.9,49881,4887871
1001,Alabama,Autauga,4204,12119,10552,10291,11.3,32.6,28.4,27.7,59338,55601
1003,Alabama,Baldwin,14310,40579,46025,46075,9.7,27.6,31.3,31.3,57588,218022
1005,Alabama,Barbour,4901,6486,4566,2220,27,35.7,25.1,12.2,34382,24881
1007,Alabama,Bibb,2650,7471,3846,1813,16.8,47.3,24.4,11.5,46064,22400
1009,Alabama,Blount,7861,13489,13267,5010,19.8,34,33.5,12.6,50412,57840
1011,Alabama,Bullock,1760,2817,1582,945,24.8,39.7,22.3,13.3,29267,10138
1013,Alabama,Butler,2141,6091,3421,2235,15.4,43.9,24.6,16.1,37365,19680
1015,Alabama,Calhoun,12620,25653,26643,14219,15.9,32.4,33.7,18,45400,114277
1017,Alabama,Chambers,4383,9060,7003,3118,18.6,38.4,29.7,13.2,39917,33615
1019,Alabama,Cherokee,3692,7157,5417,2407,19.8,38.3,29,12.9,42132,26032
1021,Alabama,Chilton,5302,13125,7147,4219,17.8,44.1,24,14.2,47547,44153
1023,Alabama,Choctaw,1754,3606,2851,1225,18.6,38.2,30.2,13,39907,12841
1025,Alabama,Clarke,3175,7372,4205,2118,18.8,43.7,24.9,12.6,40741,23920
1027,Alabama,Clay,2275,3366,2700,944,24.5,36.3,29.1,10.2,39201,13275
1029,Alabama,Cleburne,2364,4135,2518,1428,22.6,39.6,24.1,13.7,46495,14987
1031,Alabama,Coffee,4833,9723,12181,8175,13.8,27.9,34.9,23.4,55122,51909
1033,Alabama,Colbert,6016,13927,11459,7236,15.6,36,29.7,18.7,49055,54762
1035,Alabama,Conecuh,1703,4315,1881,949,19.2,48.8,21.3,10.7,32613,12277
1037,Alabama,Coosa,1675,3178,2424,953,20.4,38.6,29.5,11.6,42423,10715
1039,Alabama,Covington,4530,9368,8588,3952,17.1,35.4,32.5,14.9,40203,36986
1041,Alabama,Crenshaw,2091,3753,2326,1505,21.6,38.8,24,15.6,39057,13824
1043,Alabama,Cullman,10405,20382,18559,7866,18.2,35.6,32.4,13.7,45796,83442
1045,Alabama,Dale,4732,10924,12036,5690,14.2,32.7,36.1,17,45309,48956
1047,Alabama,Dallas,5135,9368,8076,4021,19.3,35.2,30.4,15.1,34035,38310
1049,Alabama,DeKalb,12394,15956,13441,6085,25.9,33.3,28.1,12.7,39491,71385
1051,Alabama,Elmore,7594,18304,16197,13664,13.6,32.8,29,24.5,60367,81887
1053,Alabama,Escambia,4792,11546,6340,3287,18.5,44.5,24.4,12.7,38418,36748
1055,Alabama,Etowah,11147,23665,24416,12767,15.5,32.9,33.9,17.7,44903,102501
1057,Alabama,Fayette,2060,4868,3273,1516,17.6,41.5,27.9,12.9,39254,16433
1059,Alabama,Franklin,4835,7666,5632,2679,23.2,36.8,27.1,12.9,39388,31363
1061,Alabama,Geneva,3891,6924,5720,2063,20.9,37.2,30.8,11.1,37823,26314
1063,Alabama,Greene,1406,2149,1689,589,24.1,36.8,29,10.1,28524,8233
1065,Alabama,Hale,1647,4292,2711,1421,16.4,42.6,26.9,14.1,34724,14726
1067,Alabama,Henry,2412,4081,3487,2187,19.8,33.5,28.7,18,46027,17209
1069,Alabama,Houston,10261,22680,23681,15076,14.3,31.6,33,21,47993,104722
1071,Alabama,Jackson,6526,15181,10238,5280,17.5,40.8,27.5,14.2,41929,51736
1073,Alabama,Jefferson,46025,120037,137208,145462,10.3,26.8,30.6,32.4,55013,659300
1075,Alabama,Lamar,1741,3950,2967,1235,17.6,39.9,30,12.5,40936,13844
1077,Alabama,Lauderdale,7979,22812,17453,15185,12.6,36,27.5,23.9,48707,92387
1079,Alabama,Lawrence,4919,9710,6028,2738,21,41.5,25.8,11.7,43909,32957
1081,Alabama,Lee,9049,22855,30707,32377,9.5,24.1,32.3,34.1,48937,163941
